board_size:    (2108267, 16)
direction_size:    (2108267,)
board_size:    (140250, 16)
direction_size:    (140250,)
Epoch:  0 | train loss: 1.0676 | test accuracy: 45.00
Epoch:  0 | train loss: 1.1570 | test accuracy: 42.00
Epoch:  0 | train loss: 1.0169 | test accuracy: 46.00
Epoch:  0 | train loss: 1.0859 | test accuracy: 39.00
Epoch:  0 | train loss: 1.0818 | test accuracy: 45.00
Epoch:  0 | train loss: 1.1682 | test accuracy: 35.00
Epoch:  0 | train loss: 1.0213 | test accuracy: 51.00
Epoch:  0 | train loss: 1.0468 | test accuracy: 50.00
Epoch:  0 | train loss: 1.1322 | test accuracy: 39.00
Epoch:  0 | train loss: 1.0853 | test accuracy: 42.00
Epoch:  0 | train loss: 1.2172 | test accuracy: 39.00
Epoch:  0 | train loss: 1.0061 | test accuracy: 64.00
Epoch:  0 | train loss: 1.0659 | test accuracy: 45.00
Epoch:  0 | train loss: 1.0332 | test accuracy: 60.00
Epoch:  0 | train loss: 1.0861 | test accuracy: 51.00
Epoch:  0 | train loss: 1.0487 | test accuracy: 50.00
Epoch:  0 | train loss: 1.0571 | test accuracy: 48.00
Epoch:  0 | train loss: 1.0911 | test accuracy: 45.00
Epoch:  0 | train loss: 1.0213 | test accuracy: 53.00
Epoch:  0 | train loss: 1.1672 | test accuracy: 34.00
Epoch:  0 | train loss: 0.9875 | test accuracy: 53.00
Epoch:  0 | train loss: 1.0951 | test accuracy: 43.00
Epoch:  0 | train loss: 1.0681 | test accuracy: 51.00
Epoch:  0 | train loss: 1.1277 | test accuracy: 45.00
Epoch:  0 | train loss: 1.1372 | test accuracy: 39.00
Epoch:  0 | train loss: 1.0796 | test accuracy: 42.00
Epoch:  0 | train loss: 1.0821 | test accuracy: 42.00
Epoch:  0 | train loss: 1.1083 | test accuracy: 43.00
Epoch:  0 | train loss: 1.0080 | test accuracy: 53.00
Epoch:  0 | train loss: 1.1324 | test accuracy: 40.00
Epoch:  0 | train loss: 1.0911 | test accuracy: 45.00
Epoch:  0 | train loss: 1.1634 | test accuracy: 45.00
Epoch:  0 | train loss: 1.0428 | test accuracy: 45.00
Epoch:  0 | train loss: 1.0314 | test accuracy: 51.00
Epoch:  0 | train loss: 1.1045 | test accuracy: 45.00
Epoch:  0 | train loss: 1.0715 | test accuracy: 46.00
Epoch:  0 | train loss: 1.0698 | test accuracy: 57.00
Epoch:  0 | train loss: 1.0632 | test accuracy: 50.00
Epoch:  0 | train loss: 1.0840 | test accuracy: 42.00
Epoch:  0 | train loss: 1.2460 | test accuracy: 28.00
Epoch:  0 | train loss: 1.1786 | test accuracy: 46.00
Epoch:  0 | train loss: 1.0849 | test accuracy: 46.00
Epoch:  0 | train loss: 1.1139 | test accuracy: 39.00
Epoch:  0 | train loss: 1.1725 | test accuracy: 35.00
Epoch:  0 | train loss: 1.1487 | test accuracy: 35.00
Epoch:  0 | train loss: 1.0988 | test accuracy: 45.00
Epoch:  0 | train loss: 1.0613 | test accuracy: 43.00
